categoria,hasAnswer,hasAuthor,hasBanner,hasButton,hasBuy,hasCart,hasChat,hasComment,hasContent,hasControl,hasCountry,hasCustomer,hasDropdown,hasFilter,hasForm,hasForum,hasItemProp,hasMetaKeywords,hasNewsletter,hasOrder,hasPresentation,hasPrices,hasPrint,hasProduct,hasPurchase,hasRadio,hasRelNext,hasRelPrev,hasRelated,hasReply,hasReview,hasSale,hasSchemaOrg,hasShipping,hasSort,hasThread,hasUser,hasVotes,hasWishlist,hreflangCount,imgHasAlt,tag_a,tag_abbr,tag_article,tag_aside,tag_b,tag_button,tag_dd,tag_div,tag_dl,tag_em,tag_figcaption,tag_figure,tag_form,tag_h2,tag_h3,tag_h4,tag_h5,tag_h6,tag_hr,tag_i,tag_iframe,tag_img,tag_input,tag_label,tag_li,tag_ol,tag_p,tag_picture,tag_pre,tag_section,tag_select,tag_small,tag_span,tag_strong,tag_sup,tag_svg,tag_table,tag_tbody,tag_td,tag_th,tag_time,tag_tr,tag_ul,tag_video,word_count,word_count_no_boilerplate
E-commerce / Pagina di categoria,0,0,76,16,0,5,1,0,47,1,4,3,0,6,6,0,0,1,2,7,0,247,0,1,1,14,0,0,0,0,120,11,0,3,8,0,14,0,0,31,145,940,0,0,0,8,2,0,2054,0,0,0,0,3,1,1,4,0,0,4,0,2,147,16,10,500,0,4,0,0,4,0,0,1818,0,0,20,0,0,0,0,0,0,55,0,17584,299
Contenuto editoriale,0,3,0,5,0,0,0,17,20,0,0,0,0,0,24,0,7,1,1,1,0,35,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,63,149,0,36,0,0,3,0,196,0,13,0,48,3,18,47,1,0,0,0,1,2,65,13,4,40,0,141,0,0,1,0,1,13,23,0,6,0,0,0,0,1,0,11,0,9254,5411
Contenuto editoriale,0,0,1,0,0,0,0,1,6,1,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,162,0,1,0,1,0,0,227,0,8,0,0,1,18,12,7,30,0,0,0,16,49,2,0,191,0,16,0,0,0,0,0,60,18,0,0,0,0,0,0,0,0,33,0,6714,1516
Contenuto editoriale,0,4,8,7,0,0,0,15,11,10,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,32,118,0,19,3,5,5,0,241,0,2,1,1,5,9,20,0,0,1,0,0,29,64,9,7,13,0,29,0,0,2,0,1,21,13,0,1,0,0,0,0,0,0,3,0,6563,3573
E-commerce / Pagina di categoria,0,0,23,0,0,6,0,0,17,4,13,3,2,3,16,0,0,1,5,2,0,8,0,26,0,6,0,0,0,0,0,7,0,0,8,0,5,0,3,0,30,137,0,0,0,0,7,0,247,0,0,18,20,6,4,34,0,0,0,0,25,1,31,18,19,83,0,26,20,0,2,1,0,52,5,0,0,5,5,730,25,0,151,19,0,23795,0
E-commerce / Pagina di categoria,0,0,1,29,0,5,0,0,24,8,2,3,11,280,16,0,0,1,7,17,0,15,0,118,0,0,0,0,0,0,0,0,0,0,5,0,10,0,11,18,12,259,0,0,1,0,6,4,296,3,0,0,0,5,0,2,5,0,0,0,0,1,14,31,11,216,27,10,0,0,4,3,0,222,8,0,76,0,0,0,0,0,0,21,0,4797,374
E-commerce / Pagina di categoria,1,0,1,124,0,3,0,0,101,20,0,0,0,437,60,0,20,0,0,0,37,128,0,0,5,21,1,0,0,0,0,0,1,39,5,0,0,0,0,0,72,534,0,0,0,0,76,0,1046,0,0,0,0,1,14,71,0,0,0,0,14,0,72,44,6,238,2,270,0,0,5,2,0,634,0,0,88,4,4,13,0,0,5,30,0,20369,322
E-commerce / Pagina di categoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,0
E-commerce / Pagina di categoria,0,0,0,13,0,1,13,0,8,0,5,0,8,74,10,0,5,0,21,9,0,20,0,132,0,0,0,0,0,0,0,0,0,0,3,0,3,0,41,31,73,192,0,0,0,0,13,0,355,0,0,20,29,5,0,14,32,0,0,0,121,2,108,58,34,154,1,15,1,0,0,1,0,88,0,0,1,0,0,0,0,0,0,40,0,6259,2540
Contenuto editoriale,0,6,21,47,0,0,0,2,19,0,0,0,4,0,10,2,18,0,0,41,1,5,0,0,0,0,0,0,22,0,9,0,0,0,0,2,23,0,0,0,71,391,0,1,7,0,3,0,859,0,8,0,0,3,3,61,7,0,0,0,114,14,78,24,8,123,0,16,0,0,0,0,0,234,6,0,5,0,0,0,0,12,0,26,0,12171,2794
E-commerce / Pagina di categoria,0,0,4,10,0,0,0,0,14,0,0,0,5,15,6,0,8,0,19,1,0,192,1,1,0,0,6,0,1,0,0,46,0,121,1,0,1,0,0,0,124,635,0,0,0,2,1,0,1345,0,0,0,0,3,0,0,0,0,0,0,167,3,124,14,0,91,0,2,0,0,0,0,0,688,0,0,20,0,0,0,0,0,0,15,0,15920,0
E-commerce / Pagina di categoria,0,0,1,37,0,5,0,0,24,8,2,3,11,195,17,0,0,1,7,17,0,21,0,202,0,0,0,0,0,0,0,0,0,0,5,0,10,0,15,15,20,220,0,0,1,0,6,4,347,3,0,0,0,5,0,2,5,0,0,0,0,1,21,35,11,169,17,14,0,0,4,3,0,254,12,0,88,0,0,0,0,0,0,20,0,4625,371
Contenuto editoriale,0,0,1,2,0,0,0,0,4,0,0,0,1,0,0,2,6,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,91,0,0,0,0,1,0,140,0,0,3,3,1,3,0,0,0,0,0,7,27,21,1,0,45,0,13,0,0,2,0,0,30,13,0,5,0,0,0,0,0,0,10,0,5880,2965
Contenuto editoriale,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,19,190,0,4,6,0,6,0,42,0,2,0,0,1,4,11,28,1,1,0,0,4,22,2,1,150,1,28,13,0,7,0,0,7,9,0,12,0,0,0,0,0,0,32,0,6658,3184
Contenuto editoriale,0,0,3,147,0,0,1,0,33,0,0,0,29,0,29,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,546,0,30,28,0,5,0,209,0,0,4,4,1,32,2,0,0,0,0,3,10,68,4,1,201,0,15,0,0,16,0,1,382,34,0,114,0,0,0,0,0,0,54,0,10217,4463
E-commerce / Pagina di categoria,0,0,1,46,0,5,0,0,23,8,2,3,11,192,17,0,0,1,7,17,0,31,0,242,0,6,1,0,0,0,0,0,0,0,5,0,10,0,16,14,24,224,0,0,1,0,6,4,378,3,0,0,0,5,0,2,5,0,0,0,0,1,26,39,13,165,15,16,0,0,4,3,0,286,14,0,94,0,0,0,0,0,0,19,0,4802,372
E-commerce / Pagina di categoria,0,0,6,8,0,39,0,0,28,7,0,0,5,0,12,0,84,0,8,6,0,25,0,181,0,0,1,0,0,0,0,0,0,3,2,0,1,0,0,2,26,161,0,0,0,2,3,0,275,0,0,0,0,8,2,0,3,5,0,1,26,0,28,50,3,115,0,33,0,0,3,3,0,102,6,0,0,0,0,0,0,0,0,38,0,5085,0
E-commerce / Pagina di prodotto,0,0,0,5,0,5,0,0,6,2,2,3,0,0,8,0,0,1,17,45,0,1,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,34,135,0,0,0,0,1,0,139,0,1,0,0,7,0,0,0,0,0,0,0,4,49,15,3,112,0,49,0,0,0,9,0,73,4,0,0,7,7,186,0,0,36,24,0,3963,1031
E-commerce / Pagina di categoria,0,0,8,5,0,4,0,3,19,1,1,0,0,5,11,0,0,0,11,0,0,25,0,49,0,0,0,0,0,0,48,0,1,0,3,0,1,0,25,38,32,410,0,0,0,0,7,0,305,0,0,0,0,3,0,0,0,0,0,0,4,5,33,7,30,254,0,8,0,0,0,1,3,118,22,0,0,0,0,0,0,0,0,56,0,9036,3280
